video_id,url,description,timestamp,length_in_seconds,play_count,comments_count,reactions_count,reshare_count
1.00011E+15,https://www.facebook.com/reel/1000109228998029/,FIFA President Reacts to ShowSpeed - World Cup,1748256852,66.466,569000,646,25925,178
6.18197E+14,https://www.facebook.com/reel/618196914607379/,iShowSpeed Reacts To Speed Speed Sahur,1747874391,46.262,1200000,454,38589,995
1.74514E+15,https://www.facebook.com/reel/1745144629405218/,iShowSpeed vs Fan Art..,1747873244,27.711,304000,90,8232,51
2.12272E+15,https://www.facebook.com/reel/2122716641534413/,iShowSpeed Pranks Jamal,1747873248,42.1,198000,58,3895,16
1.62591E+15,https://www.facebook.com/reel/1625911521417340/,iShowSpeed Reacts To Abby vs Joel..,1747740055,22.255,92000,100,1916,18
1.02622E+15,https://www.facebook.com/reel/1026215002984704/,iShowSpeed Reacts To Ellie's Jokes..,1747740016,29.212,98000,54,2194,15
3.99627E+15,https://www.facebook.com/reel/3996271477314239/,iShowSpeed Reacts To Virat Kohli's Retirement..,1747214065,49.132,190000,133,4374,30
1.25637E+15,https://www.facebook.com/reel/1256374355910604/,iShowSpeed Reacts To Being In GTA 6..,1746650929,26.893,1200000,351,18492,165
6.87569E+14,https://www.facebook.com/reel/687569133646465/,i Showed Kai Cenat My New Haircut..,1746582498,50.417,111000,143,3505,27
1.23107E+15,https://www.facebook.com/reel/1231073121957254/,iShowSpeed & KSI Meet The Worst Comedian Ever..,1746218075,59.059,217000,214,5977,41
1.17594E+15,https://www.facebook.com/reel/1175936670945400/,My Mom Kinda Homeless Is Back 😭😭,1746142901,58.458,159000,113,3717,66
1.90231E+15,https://www.facebook.com/reel/1902312037187217/,iShowSpeed & KSI React To Football Ruined By AI..,1746043553,17.517,1900000,255,27901,116
1.23179E+15,https://www.facebook.com/reel/1231785248347804/,iShowSpeed Whips KSI,1745957098,22.105,146000,107,3440,19
1.73596E+15,https://www.facebook.com/reel/1735957410669073/,iShowSpeed & KSI Watch Mom Kick Son Out..,1745854082,42.058,513000,225,15543,158
