Date,Caption,Likes,Comments,Share,Views,Hashtags
"June 4, 2021",⭐️,"851,194","12,793","2,858",-,
"June 14, 2021",-,"704,763","9,697","3,035",-,
"June 29, 2021",history,"765,692","14,803","4,601",-,
"July 18, 2021",🐶,"711,077","11,829","1,407",-,
"July 22, 2021",-,"845,824","13,721","3,959",-,
"August 29, 2021",🐶,"799,083","8,955","1,792",-,
"September 1, 2021",⚡️,"799,738","10,257","1,188",-,
"September 9, 2021",-,"1,023,477","15,173","6,274",-,
"September 23, 2021",-,"891,250","14,117","9,521",-,
"October 3, 2021",dooty booth lifestyle,"842,852","7,463","1,316",-,
"October 16, 2021",-,"883,556","8,404","1,456",-,
"November 1, 2021",-,"933,058","21,397","6,290",-,
"November 6, 2021",-,"954,831","13,125","2,821",-,
"November 25, 2021",shake,"1,053,978","16,854","2,666",-,
"January 22, 2022",birthday boy🐶,"1,143,897","28,973","12,163",-,
"February 15, 2022",me n bae locked in💍,"1,463,088","28,746","17,754",-,
"April 16, 2022",ben,"2,578,440","47,682","169,395",-,
"June 8, 2022",🇵🇹SEWY,"2,226,363","30,548","4,060",-,
"July 23, 2022",We did it goodbye❤️,"2,701,418","28,634","2,894",-,
"September 25, 2022",SEWEYYYYY,"4,318,438","24,876","4,000",-,
"October 14, 2022",merch our right now link in bio,"2,560,151","10,523","4,118",-,
"November 11, 2022","signed to man united, im happy","3,978,800","20,748","6,039",-,
"December 8, 2022",‏ ‏الحمد لله,"6,691,849","80,297","26,189",-,
"March 31, 2023",lindo🌤️,"5,876,261","44,386","53,947",-,
"June 18, 2023",i met ronaldo,"16,005,339","188,239","1,943,782",-,
"July 25, 2023",Mais Um🇧🇷,"8,042,215","37,481","254,986",-,
"September 10, 2023",sad day😕,"4,869,531","33,134","107,791",-,
"October 16, 2023",india🇮🇳,"4,960,847","66,134","346,895",-,
"October 31, 2023",Ballon d’Or🏆,"6,399,761","35,998","256,714",-,
"January 11, 2024",brazil🇧🇷 o que é speed?,"5,783,959","66,121","251,394",-,
"March 16, 2024",first ever man,"4,209,097","33,301","435,231","60,743,471", #ishowspeed
"March 31, 2024",i bought my first car thank you❤️🇵🇹,"5,643,142","42,565","422,479",-,
"April 8, 2024",wwe is real 💔 ,"15,027,087","111,983","3,487,621","311,587,934",#drinkprime
"April 10, 2024",🤝🏽 PRIME ✍🏽 ,"3,017,222","13,396","50,188",-,#ishowprime
"May 17, 2024",korea 🇰🇷 사랑해요,"3,386,065","16,519","149,378",-,
"May 26, 2024",dream come true united 4L❤️,"4,168,540","13,773","149,583","104,842,019",
"May 26, 2024",-,"1,548,169","2,545","41,975","26,019,723","#ishowspeed"
"May 26, 2024",-,"7,349,774",,,-,"#ishowspeed"
"June 2, 2024",hala madrid🥂,"5,700,527","37,649","211,765",-,
"June 3, 2024",-,"7,850,223","48,137","546,327","116,755,608","#ishowspeed"
"June 10, 2024",-,"2,670,717","13,584","349,824","38,491,372","#ishowspeed"
"June 17, 2024",first time eating Döner Kebab 🇹🇷 🇩🇪 #ishowspeed,"3,211,576","16,347","137,692","52,644,980",
"June 18, 2024",one year anniversary @cristiano now go win the euros bro ❤️🙏 #ishowspeed,"24,758,088","88,319","1,187,153","241,210,395",
"June 24, 2024",🇮🇹🇮🇹,"7,718,524","52,398","597,218","101,918,522",#ishowspeed
"July 2, 2024",penalties 🇵🇹,"5,699,841","23,849","334,518","71,238,146", #ishowspeed
"July 6, 2024","damn man it can’t be only me whose feeling like this i can’t stop crying, knowing this is his last game with portugal just makes me feel like im dead inside💔 ill forever support this man. WE LOVE YOU Ronaldo and i love everybody else on portugal national squad keep yall head up😥","6,640,098","44,583","149,174",-,
"July 10, 2024",speed x zlatan 🦁,"7,727,172","24,784","733,688","125,059,373", #ishowspeed
"July 22, 2024",Thank You Europe🇵🇱🇸🇪🇳🇴🇷🇴🇩🇪🇳🇱🇮🇪🇭🇺🇬🇷🇧🇪🇦🇹🇩🇰🇳🇱🇦🇱🇧🇬🇨🇿🇪🇸🇵🇹🇱🇺🇱🇹🇹🇷🇸🇦🇨🇭🇪🇺,"6,270,234","42,879","115,935",-,
"July 26, 2024",jumping OVER MY CAR 🏎️💨,"15,245,890","104,267","1,284,619","173,675,101",#ishowspeed
"August 4, 2024",JUMPED OVER TWO CARS… HISTORY! 🏎️💨,"14,630,771","91,327","855,847","199,943,220",#ishowspeed
"August 17, 2024",bye bye @travisscott 💨,"9,783,030","27,238","533,186","121,707,598",#ishowspeed
"September 3, 2024","$100,000 ROBOT DOG 🐶😳","9,154,548","58,964","1,658,912","143,891,478",#ishowspeed
"September 10, 2024",thailand 🇹🇭,"5,910,714","25,672","766,349","107,869,302",#ishowspeed
"September 19, 2024",CRAZY IN INDONESIA 🇮🇩,"6,676,472","67,189","603,279","92,437,109",#ishowspeed
"September 25, 2024",Thank you South East Asia🇮🇩🇲🇾🇵🇭🇰🇭🇸🇬🇹🇭🇻🇳🇱🇦🇧🇳🇹🇱🇲🇲,"4,912,436","99,278","178,645",-,
"September 30, 2024",ITS FINALLY OUT #ishowspeed x @drinkprime,"1,459,372","8,826","34,467","40,528,966",#ishowspeed
"October 29, 2024",Ballon D’or💔🏆 2024,"8,659,131","26,359","175,284",-,
"November 6, 2024",#ishowspeed ⚡️ x #paulpogba 🇫🇷,"4,390,727","16,345","199,574","59,886,500","#ishowspeed, #paulpogba"
"November 7, 2024",FASTEST MAN ALIVE 🏃🏾💨 #ishowspeed vs #noahlyles,"3,744,762","18,397","151,637","71,508,631","#ishowspeed, #noahlyles"
"November 21, 2024",BACKFLIP OFF CLIFF😳🇦🇺,"2,236,398","11,197","94,468","46,058,214",#ishowspeed
"December 8, 2024",STREAMER OF THE YEAR.,"5,559,243","25,186","83,429",-,
"January 15, 2025",backflip on the hand of god 😳,"11,896,209","48,563","408,695","157,962,055",#ishowspeed
"January 22, 2025",happy birthday to me i’m 20 now🫶🏽,"10,835,798","135,249","420,813",-,
"January 30, 2025",Thank you South America 🇵🇪🇪🇨🇨🇱🇦🇷🇺🇾🇵🇾🇨🇴🇬🇹🇧🇴🇧🇷🇵🇦,"6,375,673","47,193","246,957",-,
"February 2, 2025",my WWE debut 🤼💔,"5,914,969","46,497","817,593","142,845,772",#ishowspeed
"March 9, 2025",my first goal and suiii,"2,375,384","13,261","82,249","28,162,080",#ishowspeed
"March 19, 2025",CHINA HERE I COME!!!! 🇨🇳🇲🇳🇭🇰 LIVE 2:00PM CST 3/24,"2,081,817","15,386","104,123","35,981,732",
"March 26, 2025",BackFlip off the Great Wall Of China🇨🇳😳,"4,807,362","18,853","87,253","74,498,298",#ishowspeed
"March 28, 2025",i learned kung fu 🥋🇨🇳,"12,721,262","158,496","2,864,397","183,951,204",#ishowspeed
"March 30, 2025",climbing the LOVE LADDER 🇨🇳🏔️,"14,040,285","125,384","942,658","234,128,349",#ishowspeed
"March 31, 2025",Super Idol🇨🇳,"11,951,157","86,914","2,537,129","162,004,187",#ishowspeed
"April 5, 2025",Most Advanced Robot🤖🇨🇳,"5,100,571","24,879","338,781","102,066,829",#ishowspeed
"April 9, 2025",One Way Out 🕳️,"11,010,158","33,274","192,536","179,032,517",#ishowspeed
"April 11, 2025",i joined a band 🇲🇳,"3,559,405","34,937","564,927","46,431,205",#ishowspeed
"April 13, 2025",Thank You China & Mongolia🇨🇳🇭🇰🇲🇳,"6,384,043","31,389","142,381",-,
