Date,nickName,text,Content_Type,views,likes,shares,comments,Like_Rate (%),Share_Rate (%),Comment_Rate (%),Video_Length,hashtag1,country,Positive_Keywords,Negative_Keywords,videoUrl
2025-05-28,abdenkick,Speed‘s sister has just been leaked and Speed tries to protect her! ❤️‍🩹 #ishowspeed #ishowspeedclipz #ishowspeedsister,Other,2900000,118400,10300,1307,4.1000000000000005,0.4,0.0,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@abdenkick/video/7509574703598849322
2025-06-01,Nitsa's girl💘,#ishowspeed #kvaratskhelia #foryoupage #football #psg #psgkvaratskhelia🏟️⚽️🇬🇪 #foryoupage #football #foryoupage ,Gaming/Sports,1900000,84400,3845,291,4.3999999999999995,0.2,0.0,Short (<15s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@n_eddits/video/7510870649548623121
2025-06-01,Garjo Clips,Speed Couldn't Believe This was The UCL Final!!😭💀 #ishowspeed #uclfinal ,Other,116800,5989,64,36,5.1,0.1,0.0,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@garjo_clips/video/7511092048582233386
2023-07-31,Daily Mail,"“They can keep me here for months, weeks, days or years if they want to” Speed has returned to hospital after being discharged yesterday #fyp #ishowspeed #speed #mri #hospital #speedyrecovery #tokyo ",Other,37100000,2400000,86000,30700,6.5,0.2,0.1,Short (<15s),fyp,,0.0,0.0,https://www.tiktok.com/@dailymail/video/7261933365400554794
2025-05-31,BY JAM💎,Speeds bodyguard doesn’t realize who it was  #Fyp #viral #germany #fifa #speed #ishowspeed #uefa #champions #football #soccer #ucl #uclfinal #psg #intermilan #championsleague #uefachampionsleague #bayern #bayernmunich ,Gaming/Sports,26800000,1100000,6012,12200,4.1000000000000005,0.0,0.0,Medium (15-60s),fyp,,0.0,0.0,https://www.tiktok.com/@clipsbyjam/video/7510709661713108266
2025-01-24,Ishowspeed dailyvids,the last one.. Speed's girlfriend Vanessa posted this on her TikTok do via: TT/ Vanessa Anne No copyright intended / Not impersonating #ishowspeedclips #ishowspeed #speed,Other,589800,12100,530,185,2.1,0.1,0.0,Medium (15-60s),ishowspeedclips,,0.0,0.0,https://www.tiktok.com/@trend_trail0/video/7463547252091620654
2025-05-03,KaiSpeedRoss✨️,"Speed, What are you doing bruh💀😭 #ishowspeed #speed #foryou #fyp ",Other,114700,3120,2359,115,2.7,2.1,0.1,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@kaispeedross/video/7500288294056381718
2025-05-31,Kick Clipper,IShowSpeed got frustrated after missing his chance to meet Tom Cruise at UCL Final 😭💔 #ishowspeed #fyp ,Other,501700,15600,89,56,3.1,0.0,0.0,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@kickclipper_/video/7510709244040138006
2025-05-31,MENDAS GAMING,iShowSpeed Humbled Jaime Carragher 🤯 || #cynatriceditx #4k #viral #ishowspeed #viral #trending #race #foryoupage #pleaseunfreezmyaccunt🙏🏻 ,Other,6100000,538000,4895,1459,8.799999999999999,0.1,0.0,Medium (15-60s),cynatriceditx,,0.0,0.0,https://www.tiktok.com/@yusrasminiworld1/video/7510746855400148255
2025-06-01,￶ ￶ ￶,speed is on sidequests 😭 #ishowspeed #khabib #edit #fyp #trending,Other,560100,66800,4724,232,11.899999999999999,0.8,0.0,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@faxyprod/video/7511069987247983879
2025-05-31,TheStreamingPlug,Random Uefa Security tries to kick speeds team out of the suite😭 #ishowspeed #fyp ,Other,1000000,18800,221,485,1.9,0.0,0.0,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@thestreamingplug5/video/7510711477834190136
2025-05-31,MENDAS GAMING,iShowSpeed Eats Döner Kebab And This Happened 💀😂 || #cynatriceditx #4k #viral #ishowspeed #viral #trending #eats #foryoupage #pleaseunfreezmyaccunt🙏🏻 ,Other,405100,23900,2664,110,5.8999999999999995,0.7000000000000001,0.0,Medium (15-60s),cynatriceditx,,0.0,0.0,https://www.tiktok.com/@yusrasminiworld1/video/7510584325667097887
2025-05-30,Kick Clipper,IShowSpeed didn't realize who he had just met in Germany 👀🇩🇪 #ishowspeed #fyp ,Other,3200000,120500,645,353,3.8,0.0,0.0,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@kickclipper_/video/7510275554126351638
2025-02-14,IShowSpeedStreamShorts,iShowSpeed look what you do to kids 😂🤯 #ishowspeed #kyliejenner #kimk #kaicenat #kaicenatclips #fyp #ishowspeedlive #speed #loganpaul #ksi #CapCut ,Other,812000,26400,6495,2551,3.3000000000000003,0.8,0.3,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@ishowspeedstreamshorts/video/7471083860437028118
2024-11-05,IShowSpeed,#ishowspeed ,Other,142700000,13200000,302800,84700,9.3,0.2,0.1,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@ishowspeed/video/7433850442557443374
2025-01-19,Lytixclipz,Follow for more content #ishowspeed #ishowspeedinpanama #fyp #viral_video ,Other,3000000,75700,2918,1454,2.5,0.1,0.0,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@lytixclipz/video/7461567620291087638
2025-05-31,IShowSpeed,IShowSpeed Reacts To PSG 5-0 Inter Mayulu 🇫🇷 #fyp #foryoupage #foryou #viral #trending #ishowspeed #speed #psg #inter #ucl #mayulu ,Reaction,191000,14700,68,64,7.7,0.0,0.0,Long (1-5m),fyp,,0.0,0.0,https://www.tiktok.com/@speedclipshq/video/7510717409649560854
2024-09-14,IShowSpeed,#ishowspeed ,Other,277200000,23400000,383700,215100,8.4,0.1,0.1,Short (<15s),ishowspeed,1562822.0,0.0,0.0,https://www.tiktok.com/@ishowspeed/video/7414531895909731626
2025-01-18,IShowSpeed,#ishowspeed ,Other,293800000,27800000,857900,308000,9.5,0.3,0.1,Short (<15s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@ishowspeed/video/7461283703050833194
2021-09-07,IShowSpeed,#ishowspeed,Other,55000000,4300000,72600,37500,7.8,0.1,0.1,Short (<15s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@ishowspeed/video/7004994565354704134
2025-01-21,speeduniverse79,Happy Birthday Ishowspeed 🎂 #ishowspeed #ishowspeedbirthday #speedbirthday #ishowspeedclipz #ishowspeedlive #ishowspeedclips #happybirthday #foryoupage #explorepage #foryourpage ,Other,1300000,14600,392,187,1.0999999999999999,0.0,0.0,Short (<15s),ishowspeed,,2.0,0.0,https://www.tiktok.com/@speed_universe89/video/7462468348417428782
2025-03-26,BY JAM💎,ishowspeed doesn’t realize who he just met😳 #Fyp #ishowspeed #speed #speedclips #ishowspeedclips #lsf #viral #yt ishowspeed speed ,Other,6900000,336400,1646,1054,4.9,0.0,0.0,Short (<15s),fyp,,0.0,0.0,https://www.tiktok.com/@clipsbyjam/video/7485931026481515822
2025-04-24,Temporary speed 🏎,FIFA iShowspeed #ishowspeed #funny #usa🇺🇸 ,Gaming/Sports,18700000,664000,5815,1413,3.5999999999999996,0.0,0.0,Long (1-5m),ishowspeed,,0.0,0.0,https://www.tiktok.com/@temporaryspeed/video/7496722982773984555
2025-05-09,SportsCenter NEXT,(via @IShowSpeed) #speed #ishowspeed ,Other,12200000,1100000,84400,12700,9.0,0.7000000000000001,0.1,Medium (15-60s),,,0.0,0.0,https://www.tiktok.com/@sportscenternext/video/7502257337550392606
2025-03-31,fuji,Super Idol #superidol #ishowspeed #ishowspeedchinese #fyp ,Other,108800000,11300000,2200000,89700,10.4,2.0,0.1,Short (<15s),superidol,,0.0,0.0,https://www.tiktok.com/@fuji81805/video/7487943084584570118
2025-05-05,Kick Clipper,IShowSpeed started crying after what happened at the KFC 💔 #ishowspeed #fyp ,Other,2500000,87700,1524,1872,3.5000000000000004,0.1,0.1,Short (<15s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@kickclipper_/video/7501055790174850326
2025-05-31,atomclipz,IShowSpeed made Fabrizio Romano to say Speed is getting transferred to Man Utd 😭💀 #speed #ishowspeed #ishowspeedclips #uclfinal #fabrizioromano @IShowSpeed ,Other,1400000,169600,6062,356,12.1,0.4,0.0,Short (<15s),speed,,0.0,0.0,https://www.tiktok.com/@atomclipz/video/7510698606123306248
2025-04-02,Speed,Speed in china #foruyou #ishowspeedclipz #videoviral #tik_tok ,Other,6000000,353300,13200,2429,5.8999999999999995,0.2,0.0,Long (1-5m),foruyou,,0.0,0.0,https://www.tiktok.com/@ishowspeedclips040/video/7488654473607384342
2023-09-09,ESPN FC,Speed 😅😅😅 (via @Sidemen) @IShowSpeed #ishowspeed #speed #sidemen ,Other,15900000,776800,22900,4247,4.9,0.1,0.0,Medium (15-60s),,,0.0,0.0,https://www.tiktok.com/@espnfc/video/7276862764331568427
2025-06-01,CBS Sports Golazo,Walking a fine line there 😅#speed #ishowspeed #khabib #khabibnurmagomedov #championsleague #ucl #ucltoday #psg #parissaintgermain #inter ,Other,27300000,2700000,187100,5757,9.9,0.7000000000000001,0.0,Medium (15-60s),speed,,0.0,0.0,https://www.tiktok.com/@cbssportsgolazo/video/7510778818215333166
2024-05-15,IShowSpeed,#ishowspeed #drinkprime ,Other,72900000,6400000,216000,40700,8.799999999999999,0.3,0.1,Short (<15s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@ishowspeed/video/7369256423894797614
2025-05-31,clips_47k,#ishowspeedclipz #security #stress #fyp ,Other,380600,4467,401,408,1.2,0.1,0.1,Medium (15-60s),ishowspeedclipz,,0.0,0.0,https://www.tiktok.com/@clips_47k/video/7510711319918595350
2025-05-31,✨АртПо✨,АртПо попал на стрим Спида 🔥🤯 #mediabroo #recommendations #artpo #артпо #messi #ishowspeed ,Other,825100,66500,6080,1171,8.1,0.7000000000000001,0.1,Medium (15-60s),mediabroo,,0.0,0.0,https://www.tiktok.com/@artpo_thegoat/video/7510727686579358998
2025-06-01,risingballers,"“Doue ay, good shit” 🫵🏽😭 bro really is doing side quests atp 🤣 @IShowSpeed #doue #desiredoue #vitinha #championsleague #uefachampionsleague #ucl #allianzarena #bayern #psg #inter #intermilan #legend #footballtiktok #football #futbol #futebol #footy #ballers #funny #meme #him #aura #golazo #goal #4u #goal #marcelo #marcelotwelve #goat #ronaldo #cr7 #cristianoronaldo #parissaintgermain ",Gaming/Sports,865700,115100,2596,236,13.3,0.3,0.0,Long (1-5m),,2921044.0,0.0,0.0,https://www.tiktok.com/@risingballers/video/7511098459345210646
2025-05-31,Rafael Benzinho,Speed e Doue conexao chata #speed #ishowspeed #doue ,Other,3900000,487200,31600,1109,12.5,0.8,0.0,Short (<15s),speed,,0.0,0.0,https://www.tiktok.com/@rafaelbenzinho/video/7510741965709839638
2025-05-31,TNT Sports Football,Speed 🤝 Marcelo #speed #ishowspeed #marcelo #ucl #uclfinal ,Other,3300000,290100,1872,1627,8.799999999999999,0.1,0.0,Short (<15s),speed,,0.0,0.0,https://www.tiktok.com/@tntsportsfootball/video/7510730810324946198
2025-05-29,vertradeshorts,Ishowspeed sisters!💀💀 #speed #ishowspeed #edit #skull ,Other,1500000,75900,513,254,5.1,0.0,0.0,Medium (15-60s),speed,,0.0,0.0,https://www.tiktok.com/@vertradeshorts/video/7509834239144135943
2025-03-14,ViralYTvids,This is the moment IShowspeed defeated Roblox tower of hell after 15 years of playing 😳🤣 #ishowspeed #ishowspeedclipz  #towerofhell #foryou #fyp #robloxgames #robloxfyp ,Other,2400000,80900,1252,2135,3.4000000000000004,0.1,0.1,Medium (15-60s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@viralytvids2/video/7481795825375448342
2025-06-02,NasharMMA,Bro was about to go 30-0 🙏🏻💀🦅 #khabib #ishowspeed #speed #khabib_nurmagomedov #ufc ,Other,727,71,0,1,9.8,0.0,0.1,Short (<15s),khabib,,0.0,0.0,https://www.tiktok.com/@nashar.mma/video/7511327728466021654
2023-06-05,neonimus,Replying to @zidanezy Speed wakes up #IShowSpeed #SleepStream #Mentahan #Meme #MemeTemplate ,Meme/Comedy,3300000,80300,44600,583,2.4,1.4000000000000001,0.0,Short (<15s),,,0.0,0.0,https://www.tiktok.com/@animyverse/video/7241214123512450322
2025-05-30,Clips On The Net,What is wrong with him 😭🙏 #ishowspeed #ishowspeedclipz #ishowspeedclips ,Other,8459,206,32,1,2.4,0.4,0.0,Short (<15s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@clipsonthenet/video/7510266696872086806
2025-05-31,Kick Clipper,IShowSpeed and grandma spawn the green apple after the UCL Final 😭🍏 #ishowspeed #fyp ,Other,91400,1962,94,18,2.1,0.1,0.0,Short (<15s),ishowspeed,,0.0,0.0,https://www.tiktok.com/@kickclipper_/video/7510736017683516694
2025-05-29,MENDAS GAMING,iShowSpeed’s Fan Found His Sister In Public 💔 || #cynatriceditx #4k #viral #ishowspeed #viral #trending #sister #foryoupage #fyp #pleaseunfreezmyaccunt🙏🏻 ,Other,13000000,1200000,19100,4427,9.2,0.1,0.0,Medium (15-60s),cynatriceditx,,0.0,0.0,https://www.tiktok.com/@yusrasminiworld1/video/7509856402429463838
