Video ID,Title,Date Posted,Time Posted,Duration,Duration (seconds),Views,Likes,Comments,Like Rate (%),Comment Rate (%),Collaborators,Content Type,Video Type,Was Livestream,Thumbnail URL,Country
r9UA3ondtaw,"we LAUGH, you WIN $$$ ft. KSI",4/26/2025,15:31:18,3:28:37,12517,2690624,106000,1384,3.94,0.05,['KSI'],Sports,Stream,True,https://i.ytimg.com/vi/r9UA3ondtaw/hqdefault.jpg,Not Applicable
YdZntExmo_k,WORLDS GOT TALENT,4/21/2025,22:48:04,5:30:41,19841,2632926,89634,2052,3.4,0.08,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/YdZntExmo_k/hqdefault.jpg,Not Applicable
o3N-9nklu3U,BACK AND BETTER 谢谢 速度,4/20/2025,22:46:21,6:15:04,22504,3171537,99151,1467,3.13,0.05,,Variety Stream,Stream,True,https://i.ytimg.com/vi/o3N-9nklu3U/hqdefault.jpg,Not Applicable
H6ywRmxBNvo,i joined a band 🇲🇳 #ishowspeed,4/11/2025,11:04:36,44,44,10733730,300756,9178,2.8,0.09,,IRL / Vlog,Shorts,False,https://i.ytimg.com/vi/H6ywRmxBNvo/hqdefault.jpg,Mongolia
0mwuGExoxFU,irl stream in Mongolia 🇲🇳,4/11/2025,8:39:21,5:02:54,18174,7060068,220320,9033,3.12,0.13,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/0mwuGExoxFU/hqdefault.jpg,Mongolia
43U-qppkN64,One Way Out 🕳️ #ishowspeed,4/9/2025,7:31:16,25,25,95270661,1527817,10237,1.6,0.01,,Gaming,Shorts,False,https://i.ytimg.com/vi/43U-qppkN64/hqdefault.jpg,Not Applicable
7cAzQjnEqXs,"irl stream in Changsha, China🇨🇳 + Meeting Da Zang Wei🎤",4/7/2025,14:30:25,6:01:43,21703,9367045,202967,13188,2.17,0.14,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/7cAzQjnEqXs/hqdefault.jpg,China
Hag52ouCzJs,Most Advanced Robot🤖🇨🇳 #ishowspeed,4/5/2025,14:48:37,33,33,22117436,537877,9951,2.43,0.04,,IRL / Vlog,Shorts,False,https://i.ytimg.com/vi/Hag52ouCzJs/hqdefault.jpg,China
zTW20UFOVbo,"irl stream in Shenzhen, China 🇨🇳🤖",4/5/2025,12:39:01,5:43:15,20595,8633882,215022,11032,2.49,0.13,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/zTW20UFOVbo/hqdefault.jpg,China
oNS8PHxWdp8,irl stream in Hong Kong 🇭🇰  (38 million……),4/4/2025,11:50:30,9:39:38,34778,11077562,261951,15105,2.36,0.14,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/oNS8PHxWdp8/hqdefault.jpg,Hong Kong
